symbol	phenotype_score	fraction_of_max	n_terms_matched	matched_terms	in_disease_panel
HPDL	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HSD3B2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
HSD3B7	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
HTRA2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IFNG	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
IGHM	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IGLL1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IKBKB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IL1RN	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
IL21	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IL21R	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IL2RA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IL2RB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IL2RG	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IL7R	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IRF1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
IRF4	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
IRF8	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
IVD	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
JAK3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
KCNA1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
KCNJ6	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
KCNN4	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
KCNQ2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
KCNT1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
KMT5B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
KRT16	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
KRT17	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
KRT6A	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
KRT6B	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
LAMA3	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
LAMB3	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
LAMC2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
LARS1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
LAT	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
LCK	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
LINS1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
LIPA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
LPIN2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
LRBA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
LRRC8A	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
LRRK1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
LTC4S	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
LYRM4	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
LYRM7	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MBL2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
MC2R	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MCCC1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MCEE	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MECR	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MED17	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MICOS13	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MIF	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
MIPEP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MMAA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MMAB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MMUT	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MPDU1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MPI	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MRAP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MRPL12	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MRPL3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MRPL39	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MRPS14	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MRPS2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MRPS28	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MRPS7	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MT-CYB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MT-ND2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MT-ND3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MT-TL2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MT-TN	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MT-TV	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MTHFR	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MTRR	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MTTP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
MYL2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NACC1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NADK2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NAGS	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NCF2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
NDUFA1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFA11	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFA13	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFA2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFAF1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFAF2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFAF3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFAF4	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFAF5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFAF8	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFB10	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFB9	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFS1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFS3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFS6	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFS7	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFS8	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFV1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NDUFV2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NEDD4L	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NELFA	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
NEUROD2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NEUROG3	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
NFASC	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NFIA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NFKB2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NFKBIA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NFU1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NLRP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
NNT	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NONO	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NR0B1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
NR3C2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NSRP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NSUN3	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
NUBPL	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NUP214	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NUP54	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
NUP62	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
OCLN	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
OPLAH	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
OTC	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
OTULIN	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
OXCT1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PACS1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PACSIN3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PCSK1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
PDGFRB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PDHX	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PDX1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PEPD	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PIGB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PIGG	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PIGP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PIGQ	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PLAA	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PLCB1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PLCB4	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PMM2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PMPCB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PNP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
POLG2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
POLR1B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
POLR1C	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
POLR1D	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
POLR3K	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
POMC	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
POMP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PPM1B	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
PPP1R13L	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PRF1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PSAP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PSAT1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PSMB10	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PSMB4	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
PSMC1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
PTPN2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
PUS3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RAC2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RAG1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RAG2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RARS2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RASGRP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RBM10	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RELB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RFX5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RFXANK	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RFXAP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RHOBTB2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RIPK1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RNF13	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RNF2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
RRAGC	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SAR1B	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
SC5D	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SCN1B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SCN2A	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SCO1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SEC31A	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SERAC1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SERPINA1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
SETBP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SGO1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SI	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
SIK1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC10A2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
SLC11A1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
SLC12A3	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
SLC12A5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC1A3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC22A5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC25A13	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC25A15	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC25A22	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC25A3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC26A9	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC30A9	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC32A1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC39A7	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC3A1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SLC51A	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
SLC5A1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
SLC6A14	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
SLC9A3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SMARCC2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SMARCD2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SNX10	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SOX17	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SP110	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SPI1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SPOP	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SPTBN1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SSR4	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ST3GAL5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
STAR	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
STAT4	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
STT3B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SUGCT	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
SV2A	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
TAFAZZIN	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TAMM41	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TASP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TCF3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TCN2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TCOF1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TCP1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TFAM	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
TFRC	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TIMM50	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TJP2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TKFC	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TLL1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TMEM106B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TMEM126B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TMPRSS15	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
TNPO2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TOM1	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
TOP2B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TRAC	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TRIM8	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TRIO	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TRIT1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TRMT10C	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TRMT5	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TSHB	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TWIST2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
TXNRD2	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
UBA2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
UMPS	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
UNC45A	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
UNC80	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
UQCC2	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
VHL	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
VPS37A	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
VPS45	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
VPS51	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
WAS	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
WDR26	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
WNT2B	1.496	0.0564	1	HP:0001508(Failure to thrive)	no
WNT7B	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ZAP70	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ZIC3	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ZNFX1	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ZSWIM6	1.496	0.0564	1	HP:0001508(Failure to thrive)	yes
ABCB6	1.267	0.0477	1	HP:0004322(Short stature)	yes
ABCB7	1.267	0.0477	1	HP:0004322(Short stature)	yes
ABHD5	1.267	0.0477	1	HP:0004322(Short stature)	yes
ACAN	1.267	0.0477	1	HP:0004322(Short stature)	yes
ACER3	1.267	0.0477	1	HP:0004322(Short stature)	yes
ACP5	1.267	0.0477	1	HP:0004322(Short stature)	yes
ADAMTS10	1.267	0.0477	1	HP:0004322(Short stature)	yes
ADAMTS17	1.267	0.0477	1	HP:0004322(Short stature)	no
ADAMTSL2	1.267	0.0477	1	HP:0004322(Short stature)	yes
AFF2	1.267	0.0477	1	HP:0004322(Short stature)	yes
AFF4	1.267	0.0477	1	HP:0004322(Short stature)	yes
AGA	1.267	0.0477	1	HP:0004322(Short stature)	yes
AGO1	1.267	0.0477	1	HP:0004322(Short stature)	yes
AHSG	1.267	0.0477	1	HP:0004322(Short stature)	no
ALDH3A2	1.267	0.0477	1	HP:0004322(Short stature)	yes
ALDOA	1.267	0.0477	1	HP:0004322(Short stature)	yes
ALG2	1.267	0.0477	1	HP:0004322(Short stature)	yes
ALMS1	1.267	0.0477	1	HP:0004322(Short stature)	yes
ANK1	1.267	0.0477	1	HP:0004322(Short stature)	yes
ANKH	1.267	0.0477	1	HP:0004322(Short stature)	yes
ANKLE2	1.267	0.0477	1	HP:0004322(Short stature)	yes
ANKRD17	1.267	0.0477	1	HP:0004322(Short stature)	yes
ANTXR1	1.267	0.0477	1	HP:0004322(Short stature)	yes
AP4B1	1.267	0.0477	1	HP:0004322(Short stature)	yes
AP4E1	1.267	0.0477	1	HP:0004322(Short stature)	yes
AP4M1	1.267	0.0477	1	HP:0004322(Short stature)	yes
AP4S1	1.267	0.0477	1	HP:0004322(Short stature)	yes
ARID1A	1.267	0.0477	1	HP:0004322(Short stature)	yes
ARNT2	1.267	0.0477	1	HP:0004322(Short stature)	yes
ARPC4	1.267	0.0477	1	HP:0004322(Short stature)	yes
ARPC5	1.267	0.0477	1	HP:0004322(Short stature)	no
ARSB	1.267	0.0477	1	HP:0004322(Short stature)	yes
ARSK	1.267	0.0477	1	HP:0004322(Short stature)	no
ARSL	1.267	0.0477	1	HP:0004322(Short stature)	yes
ASCC3	1.267	0.0477	1	HP:0004322(Short stature)	yes
ASPM	1.267	0.0477	1	HP:0004322(Short stature)	yes
ASPNAT	1.267	0.0477	1	HP:0004322(Short stature)	yes
ASPRV1	1.267	0.0477	1	HP:0004322(Short stature)	no
ATP11A	1.267	0.0477	1	HP:0004322(Short stature)	yes
ATP5F1D	1.267	0.0477	1	HP:0004322(Short stature)	yes
ATP5F1E	1.267	0.0477	1	HP:0004322(Short stature)	yes
ATP5MK	1.267	0.0477	1	HP:0004322(Short stature)	yes
ATR	1.267	0.0477	1	HP:0004322(Short stature)	yes
ATRIP	1.267	0.0477	1	HP:0004322(Short stature)	yes
B3GAT3	1.267	0.0477	1	HP:0004322(Short stature)	yes
B3GLCT	1.267	0.0477	1	HP:0004322(Short stature)	yes
BCAS3	1.267	0.0477	1	HP:0004322(Short stature)	yes
BCL11A	1.267	0.0477	1	HP:0004322(Short stature)	yes
BCOR	1.267	0.0477	1	HP:0004322(Short stature)	yes
BDNF	1.267	0.0477	1	HP:0004322(Short stature)	no
BGN	1.267	0.0477	1	HP:0004322(Short stature)	yes
BMP15	1.267	0.0477	1	HP:0004322(Short stature)	yes
BMP2	1.267	0.0477	1	HP:0004322(Short stature)	yes
BMPER	1.267	0.0477	1	HP:0004322(Short stature)	yes
BMPR1B	1.267	0.0477	1	HP:0004322(Short stature)	yes
BNC1	1.267	0.0477	1	HP:0004322(Short stature)	no
BNIP1	1.267	0.0477	1	HP:0004322(Short stature)	no
BPNT2	1.267	0.0477	1	HP:0004322(Short stature)	yes
BRCC3	1.267	0.0477	1	HP:0004322(Short stature)	no
BRIP1	1.267	0.0477	1	HP:0004322(Short stature)	yes
C18orf32	1.267	0.0477	1	HP:0004322(Short stature)	no
C1GALT1C1	1.267	0.0477	1	HP:0004322(Short stature)	yes
C1R	1.267	0.0477	1	HP:0004322(Short stature)	no
C1S	1.267	0.0477	1	HP:0004322(Short stature)	no
CAMK2G	1.267	0.0477	1	HP:0004322(Short stature)	yes
CAMTA1	1.267	0.0477	1	HP:0004322(Short stature)	yes
CANT1	1.267	0.0477	1	HP:0004322(Short stature)	yes
CAPN15	1.267	0.0477	1	HP:0004322(Short stature)	yes
CCDC134	1.267	0.0477	1	HP:0004322(Short stature)	no
CCDC22	1.267	0.0477	1	HP:0004322(Short stature)	yes
CCN2	1.267	0.0477	1	HP:0004322(Short stature)	yes
CCN6	1.267	0.0477	1	HP:0004322(Short stature)	yes
CDC42BPB	1.267	0.0477	1	HP:0004322(Short stature)	yes
CDCA7	1.267	0.0477	1	HP:0004322(Short stature)	yes
CDH3	1.267	0.0477	1	HP:0004322(Short stature)	yes
CDIN1	1.267	0.0477	1	HP:0004322(Short stature)	no
CDK10	1.267	0.0477	1	HP:0004322(Short stature)	yes
CDK13	1.267	0.0477	1	HP:0004322(Short stature)	yes
CDK5RAP2	1.267	0.0477	1	HP:0004322(Short stature)	yes
CDK6	1.267	0.0477	1	HP:0004322(Short stature)	yes
CDSN	1.267	0.0477	1	HP:0004322(Short stature)	no
CEP120	1.267	0.0477	1	HP:0004322(Short stature)	yes
CEP135	1.267	0.0477	1	HP:0004322(Short stature)	yes
CEP152	1.267	0.0477	1	HP:0004322(Short stature)	yes
CEP164	1.267	0.0477	1	HP:0004322(Short stature)	yes
CEP295	1.267	0.0477	1	HP:0004322(Short stature)	yes
CEP63	1.267	0.0477	1	HP:0004322(Short stature)	yes
CHD4	1.267	0.0477	1	HP:0004322(Short stature)	yes
CHD6	1.267	0.0477	1	HP:0004322(Short stature)	no
CHKA	1.267	0.0477	1	HP:0004322(Short stature)	yes
CHRNA7	1.267	0.0477	1	HP:0004322(Short stature)	yes
CHST11	1.267	0.0477	1	HP:0004322(Short stature)	no
CHST3	1.267	0.0477	1	HP:0004322(Short stature)	yes
CHSY1	1.267	0.0477	1	HP:0004322(Short stature)	yes
CKAP2L	1.267	0.0477	1	HP:0004322(Short stature)	yes
CLPP	1.267	0.0477	1	HP:0004322(Short stature)	yes
CLTRN	1.267	0.0477	1	HP:0004322(Short stature)	no
COA3	1.267	0.0477	1	HP:0004322(Short stature)	yes
COG5	1.267	0.0477	1	HP:0004322(Short stature)	yes
COL10A1	1.267	0.0477	1	HP:0004322(Short stature)	yes
COL11A2	1.267	0.0477	1	HP:0004322(Short stature)	yes
COL27A1	1.267	0.0477	1	HP:0004322(Short stature)	yes
COL9A1	1.267	0.0477	1	HP:0004322(Short stature)	yes
COL9A2	1.267	0.0477	1	HP:0004322(Short stature)	yes
COL9A3	1.267	0.0477	1	HP:0004322(Short stature)	yes
COLEC10	1.267	0.0477	1	HP:0004322(Short stature)	yes
COX8A	1.267	0.0477	1	HP:0004322(Short stature)	yes
CRNKL1	1.267	0.0477	1	HP:0004322(Short stature)	yes
CRTAP	1.267	0.0477	1	HP:0004322(Short stature)	no
CSGALNACT1	1.267	0.0477	1	HP:0004322(Short stature)	yes
CTC1	1.267	0.0477	1	HP:0004322(Short stature)	yes
CTDP1	1.267	0.0477	1	HP:0004322(Short stature)	yes
CTNNA2	1.267	0.0477	1	HP:0004322(Short stature)	yes
CTNND2	1.267	0.0477	1	HP:0004322(Short stature)	yes
CTSA	1.267	0.0477	1	HP:0004322(Short stature)	yes
CTSK	1.267	0.0477	1	HP:0004322(Short stature)	yes
CUX1	1.267	0.0477	1	HP:0004322(Short stature)	yes
CWC27	1.267	0.0477	1	HP:0004322(Short stature)	yes
CYBC1	1.267	0.0477	1	HP:0004322(Short stature)	no
CYP11B1	1.267	0.0477	1	HP:0004322(Short stature)	no
CYP19A1	1.267	0.0477	1	HP:0004322(Short stature)	no
CYP4F22	1.267	0.0477	1	HP:0004322(Short stature)	no
DAP3	1.267	0.0477	1	HP:0004322(Short stature)	yes
DCC	1.267	0.0477	1	HP:0004322(Short stature)	yes
DCHS1	1.267	0.0477	1	HP:0004322(Short stature)	yes
DDHD2	1.267	0.0477	1	HP:0004322(Short stature)	yes
DDR2	1.267	0.0477	1	HP:0004322(Short stature)	yes
DDRGK1	1.267	0.0477	1	HP:0004322(Short stature)	no
DDX3X	1.267	0.0477	1	HP:0004322(Short stature)	yes
DGCR2	1.267	0.0477	1	HP:0004322(Short stature)	no
DGCR6	1.267	0.0477	1	HP:0004322(Short stature)	no
DGCR8	1.267	0.0477	1	HP:0004322(Short stature)	no
DLL3	1.267	0.0477	1	HP:0004322(Short stature)	yes
DLX5	1.267	0.0477	1	HP:0004322(Short stature)	yes
DMP1	1.267	0.0477	1	HP:0004322(Short stature)	yes
DNAJC3	1.267	0.0477	1	HP:0004322(Short stature)	yes
DNMT3A	1.267	0.0477	1	HP:0004322(Short stature)	yes
DOCK3	1.267	0.0477	1	HP:0004322(Short stature)	yes
