symbol	panel_tier	n_sources	sources	n_nominations	has_experimental_evidence	in_core_panel	n_specific_go_terms	specific_go_terms	go_terms	reactome_pathways	string_seeds	known_mva_gene	ensembl_gene_id	gnomad_transcript	gnomad_loeuf	gnomad_oe_lof	gnomad_pli	gnomad_mis_z	constraint_bin
PTTG1	2	3	GO,Reactome,STRING	7	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)	R-HSA-2467813 (Separation of Sister Chromatids)	BUB1,BUB1B,BUB3	no	9232	NM_004219.4	0.673	0.358	0.614	1.19	moderate
RAD21	2	3	GO,Reactome,STRING	25	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion); GO:0051983 (regulation of chromosome segregation)	R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase)	SMC5	no	5885	NM_006265.3	0.341	0.210	1.000	3.65	highly_constrained
SEH1L	2	3	GO,Reactome,STRING	12	yes	yes	1	GO:0000776 (kinetochore)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	CEP192	no	81929	NM_001013437.2	0.629	0.414	0.259	2.17	moderate
SGO1	2	3	GO,Reactome,STRING	33	yes	yes	3	GO:0000776 (kinetochore); GO:0007062 (sister chromatid cohesion); GO:0007098 (centrosome cycle)	GO:0000776 (kinetochore); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion); GO:0007098 (centrosome cycle)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1,BUB1B,BUB3	no	151648	NM_001199251.3	1.036	0.775	0.000	-0.15	unconstrained
SKA1	2	3	GO,Reactome,STRING	38	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1B,TRIP13	no	220134	NM_145060.4	0.849	0.471	0.114	0.91	moderate
SMC1A	2	3	GO,Reactome,STRING	22	yes	yes	2	GO:0000776 (kinetochore); GO:0007062 (sister chromatid cohesion)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)	R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase)	SMC5	no	NA	NA	NA	NA	NA	NA	no_constraint_data
SMC2	2	3	GO,Reactome,STRING	16	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)	SMC5	no	10592	NM_006444.3	0.408	0.294	1.000	0.97	constrained
SMC3	2	3	GO,Reactome,STRING	11	yes	yes	1	GO:0007062 (sister chromatid cohesion)	GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)	R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase)	SMC5	no	9126	NM_005445.4	0.132	0.076	1.000	7.63	highly_constrained
SMC4	2	3	GO,Reactome,STRING	21	yes	yes	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)	R-HSA-68877 (Mitotic Prometaphase)	SMC5	no	10051	NM_001002800.3	0.775	0.632	0.000	0.89	moderate
SPC24	2	3	GO,Reactome,STRING	20	yes	yes	3	GO:0000776 (kinetochore); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)	R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)	BUB1	no	147841	NM_182513.4	1.844	1.407	0.000	-1.63	unconstrained
