symbol	panel_tier	n_sources	sources	n_nominations	has_experimental_evidence	in_core_panel	n_specific_go_terms	specific_go_terms	go_terms	reactome_pathways	string_seeds	known_mva_gene	ensembl_gene_id	gnomad_transcript	gnomad_loeuf	gnomad_oe_lof	gnomad_pli	gnomad_mis_z	constraint_bin
CFAP100	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	348807	NM_182628.3	1.041	0.847	0.000	-0.33	unconstrained
CHMP4BP1	5	1	GO	5	no	no	0		GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
CHORDC1	5	1	GO	2	no	no	0		GO:0007098 (centrosome cycle)			no	26973	NM_012124.3	0.882	0.544	0.012	0.86	moderate
CHTF8	5	1	GO	2	no	no	0		GO:0007062 (sister chromatid cohesion)			no	54921	NM_001039690.5	1.046	0.530	0.077	0.61	unconstrained
CIAO2B	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	51647	NM_016062.4	1.681	1.169	0.000	0.06	unconstrained
CKS1B	5	1	STRING	1	yes	no	0				TRIP13	no	1163	NM_001826.3	0.991	0.471	0.169	1.67	moderate
CLTA	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	1211	NM_001833.4	0.546	0.260	0.942	-0.13	constrained
CLTB	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	1212	NM_007097.5	0.567	0.334	0.878	0.98	constrained
CLTC	5	1	GO	3	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	1213	NM_004859.4	0.104	0.063	1.000	10.23	highly_constrained
CNTRL	5	1	Reactome	3	yes	no	0			R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	11064	NM_007018.6	0.830	0.735	0.000	1.77	moderate
CSNK1E	5	1	Reactome	3	yes	no	0			R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	1454	NM_152221.3	0.588	0.392	0.524	3.06	constrained
CSNK2B	5	1	Reactome	1	yes	no	0			R-HSA-68877 (Mitotic Prometaphase)		no	1460	NM_001320.7	0.237	0.075	1.000	3.78	highly_constrained
CYC1	5	1	STRING	1	yes	no	0				TRIP13	no	1537	NM_001916.5	0.583	0.334	0.846	-0.61	constrained
DCAF13	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	25879	NM_015420.7	0.848	0.599	0.000	1.56	moderate
DCTN3	5	1	Reactome	3	yes	no	0			R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	11258	NM_007234.5	1.176	0.842	0.000	0.27	unconstrained
DCTN4	5	1	GO	2	no	no	0		GO:0000776 (kinetochore)			no	51164	NM_016221.4	0.549	0.356	0.871	1.27	constrained
DDX11L8	5	1	GO	1	no	no	0		GO:0007062 (sister chromatid cohesion)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
DDX12P	5	1	GO	1	no	no	0		GO:0007062 (sister chromatid cohesion)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
DDX3X	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
DEUP1	5	1	GO	1	no	no	0		GO:0007098 (centrosome cycle)			no	159989	NM_181645.4	1.080	0.818	0.000	0.06	unconstrained
DIS3L2	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	129563	NM_152383.5	0.468	0.350	0.997	1.40	constrained
DNM2	5	1	GO	1	no	no	0		GO:0007098 (centrosome cycle)			no	1785	NM_001005361.3	0.239	0.155	1.000	4.87	highly_constrained
DRG1	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	4733	NM_004147.4	0.698	0.476	0.017	2.82	moderate
DUSP1	5	1	GO	4	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0007094 (mitotic spindle assembly checkpoint signaling); GO:0051983 (regulation of chromosome segregation)			no	1843	NM_004417.4	0.691	0.408	0.326	0.18	moderate
EID2	5	1	STRING	1	yes	no	0				SMC5	no	163126	NM_153232.4	1.295	0.282	0.433	0.63	unconstrained
EID3	5	1	STRING	1	yes	no	0				SMC5	no	493861	NM_001008394.3	1.908	1.311	0.005	-0.57	unconstrained
EML3	5	1	GO	46	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	256364	NM_153265.3	0.630	0.501	0.000	2.06	moderate
ERCC2	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	2068	NM_000400.4	1.089	0.913	0.000	0.61	unconstrained
ERCC6L	5	1	Reactome	5	yes	no	0			R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	NA	NA	NA	NA	NA	NA	no_constraint_data
EXO1	5	1	STRING	3	yes	no	0				BUB1,SMC5,TRIP13	no	9156	NM_130398.4	1.013	0.806	0.000	0.14	unconstrained
FANCD2	5	1	GO	1	no	no	0		GO:0007059 (chromosome segregation)			no	2177	NM_001018115.3	0.777	0.652	0.000	1.76	moderate
FANCM	5	1	STRING	1	yes	no	0				SMC5	no	57697	NM_020937.4	0.754	0.616	0.000	0.70	moderate
FBXO47	5	1	GO	4	no	no	0		GO:0007059 (chromosome segregation)			no	494188	NM_001008777.3	0.814	0.549	0.002	0.75	moderate
FBXW11	5	1	GO	1	no	no	0		GO:0000776 (kinetochore)			no	23291	NM_001378974.1	0.354	0.223	1.000	5.04	constrained
FLNA	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
FMN2	5	1	GO	2	no	no	0		GO:0007059 (chromosome segregation)			no	56776	NM_020066.5	0.510	0.402	0.512	-0.27	constrained
FOXM1	5	1	STRING	1	yes	no	0				TRIP13	no	2305	NM_021953.4	0.545	0.393	0.602	1.21	constrained
FZR1	5	1	STRING	2	yes	no	0				BUB1B,BUB3	no	51343	NM_016263.4	0.337	0.193	1.000	3.01	highly_constrained
GEM	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	2669	NM_005261.4	1.250	0.868	0.000	0.93	unconstrained
GPSM2	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	29899	NM_013296.5	0.860	0.602	0.000	1.60	moderate
GTF2B	5	1	GO	3	no	no	0		GO:0000776 (kinetochore); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)			no	2959	NM_001514.6	0.875	0.550	0.008	2.46	moderate
H2BW1	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
H3-3A	5	1	GO	3	no	no	0		GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
H3-5	5	1	GO	3	no	no	0		GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	440093	NM_001013699.3	1.693	1.007	0.000	0.41	unconstrained
H3-7	5	1	GO	3	no	no	0		GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
H3Y1	5	1	GO	3	no	no	0		GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
H3Y2	5	1	GO	3	no	no	0		GO:0000776 (kinetochore); GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
HDAC3	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	8841	NM_003883.4	0.463	0.321	0.998	4.78	constrained
HMMR	5	1	STRING	1	yes	no	0				TRIP13	no	3161	NM_001142556.2	1.098	0.756	0.000	0.11	unconstrained
HSP90AA1	5	1	Reactome	3	yes	no	0			R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	3320	NM_005348.4	0.362	0.238	1.000	2.78	constrained
HSPA1A	5	1	GO	6	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	3303	NM_005345.6	1.332	0.432	0.277	2.29	unconstrained
HSPA1B	5	1	GO	6	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	3304	NM_005346.6	1.854	1.098	0.008	2.24	unconstrained
IHO1	5	1	GO	7	no	no	0		GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	339834	NM_001135197.2	0.587	0.298	0.881	1.61	constrained
INO80	5	1	GO	3	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	54617	NM_017553.3	0.165	0.107	1.000	3.77	highly_constrained
ITGB1BP2	5	1	GO	1	no	no	0		GO:0007098 (centrosome cycle)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
KANSL1	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	284058	NM_015443.4	0.325	0.225	1.000	0.90	highly_constrained
KANSL3	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	55683	NM_001115016.3	0.293	0.190	1.000	2.16	highly_constrained
KASH5	5	1	GO	4	no	no	0		GO:0007059 (chromosome segregation)			no	147872	NM_144688.5	1.092	0.895	0.000	0.32	unconstrained
KAT8	5	1	GO	1	no	no	0		GO:0000776 (kinetochore)			no	84148	NM_032188.3	0.852	0.654	0.000	2.94	moderate
KATNB1	5	1	GO	24	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	10300	NM_005886.3	0.651	0.497	0.000	1.78	moderate
KIAA0753	5	1	GO	6	no	no	0		GO:0007098 (centrosome cycle)			no	9851	NM_014804.3	1.071	0.885	0.000	0.47	unconstrained
KIAA1614	5	1	GO	1	no	no	0		GO:0007098 (centrosome cycle)			no	57710	NM_020950.2	1.118	0.924	0.000	-0.18	unconstrained
KIF18B	5	1	GO	2	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	146909	NM_001265577.2	0.781	0.611	0.000	1.21	moderate
KIF20A	5	1	STRING	3	yes	no	0				BUB1,BUB1B,TRIP13	no	10112	NM_005733.3	0.685	0.557	0.000	2.27	moderate
KIF3A	5	1	GO	1	no	no	0		GO:0007098 (centrosome cycle)			no	11127	NM_001300791.2	0.299	0.181	1.000	3.69	highly_constrained
KIF4B	5	1	GO	5	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	285643	NM_001099293.3	1.029	0.835	0.000	1.48	unconstrained
KIFC1	5	1	GO	8	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	3833	NM_002263.4	0.706	0.536	0.000	2.06	moderate
KLHDC8B	5	1	GO	3	yes	no	0		GO:0007059 (chromosome segregation)			no	200942	NM_173546.3	1.016	0.692	0.000	1.46	unconstrained
KMT5A	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	387893	NM_020382.7	0.314	0.159	1.000	2.27	highly_constrained
KPNB1	5	1	GO	6	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	3837	NM_002265.6	0.119	0.052	1.000	6.70	highly_constrained
LATS1	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	9113	NM_004690.4	0.319	0.221	1.000	3.86	highly_constrained
LSM14A	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	26065	NM_015578.4	0.449	0.277	0.998	2.61	constrained
LZTS2	5	1	GO	2	no	no	0		GO:0007059 (chromosome segregation)			no	84445	NM_001394952.1	0.831	0.619	0.000	0.95	moderate
M1AP	5	1	GO	5	yes	no	0		GO:0007059 (chromosome segregation)			no	130951	NM_001321739.2	0.921	0.703	0.000	1.84	moderate
MAJIN	5	1	GO	8	no	no	0		GO:0007059 (chromosome segregation)			no	283129	NM_001037225.3	1.253	0.909	0.000	0.34	unconstrained
MAP10	5	1	GO	4	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	54627	NM_019090.3	1.850	1.260	0.000	-0.81	unconstrained
MAP1S	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	55201	NM_018174.6	0.777	0.563	0.000	-2.41	moderate
MAP3K20	5	1	GO	4	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	51776	NM_016653.3	0.569	0.419	0.143	1.83	constrained
MAPK15	5	1	GO	4	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	225689	NM_139021.3	1.344	1.097	0.000	-0.93	unconstrained
MAPRE2	5	1	GO	1	no	no	0		GO:0007059 (chromosome segregation)			no	10982	NM_014268.4	0.494	0.311	0.986	4.33	constrained
MAPRE3	5	1	GO	1	no	no	0		GO:0007059 (chromosome segregation)			no	22924	NM_012326.4	0.163	0.034	1.000	2.84	highly_constrained
MCM4	5	1	STRING	1	yes	no	0				TRIP13	no	4173	NM_182746.3	0.806	0.631	0.000	0.02	moderate
MCM7	5	1	STRING	1	yes	no	0				TRIP13	no	4176	NM_005916.5	1.305	1.101	0.000	-1.00	unconstrained
MDC1	5	1	STRING	1	yes	no	0				SMC5	no	9656	NM_014641.3	0.648	0.539	0.000	3.55	moderate
MEI4	5	1	GO	2	no	no	0		GO:0007059 (chromosome segregation)			no	101928601	NM_001322247.2	1.341	0.984	0.000	1.68	unconstrained
MEIKIN	5	1	GO	17	no	no	0		GO:0000776 (kinetochore); GO:0007059 (chromosome segregation); GO:0007062 (sister chromatid cohesion)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
MEIOB	5	1	GO	2	no	no	0		GO:0007059 (chromosome segregation)			no	254528	NM_001163560.3	1.318	0.843	0.000	0.45	unconstrained
MEIOC	5	1	GO	2	no	no	0		GO:0007059 (chromosome segregation)			no	284071	NM_001145080.3	0.219	0.126	1.000	2.57	highly_constrained
MELK	5	1	STRING	3	yes	no	0				BUB1,BUB1B,TRIP13	no	9833	NM_014791.4	1.098	0.856	0.000	0.66	unconstrained
MISP	5	1	GO	2	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	126353	NM_173481.4	1.275	1.012	0.000	-1.60	unconstrained
MND1	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	84057	NM_032117.4	1.485	0.979	0.000	0.27	unconstrained
MOS	5	1	GO	9	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	4342	NM_005372.1	1.944	7.721	0.103	0.92	unconstrained
MSH5	5	1	GO	1	no	no	0		GO:0007059 (chromosome segregation)			no	4439	NM_172166.4	0.847	0.702	0.000	2.12	moderate
MTCL2	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	NA	NA	NA	NA	NA	NA	no_constraint_data
MUS81	5	1	STRING	1	yes	no	0				SMC5	no	80198	NM_025128.5	1.116	0.914	0.000	0.27	unconstrained
MXI1	5	1	STRING	1	yes	no	0				BUB1B	no	4601	NM_130439.3	0.839	0.560	0.002	1.21	moderate
MZT2A	5	1	Reactome	2	yes	no	0			R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	653784	NM_001085365.2	1.496	0.837	0.003	0.05	unconstrained
MZT2B	5	1	Reactome	2	yes	no	0			R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	80097	NM_025029.5	1.841	1.187	0.000	-0.70	unconstrained
NAA60	5	1	GO	2	no	no	0		GO:0007059 (chromosome segregation)			no	79903	NM_001083601.3	0.600	0.333	0.816	0.31	moderate
NAT9	5	1	GO	2	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	26151	NM_015654.5	1.093	0.771	0.000	0.41	unconstrained
NCAPD3	5	1	GO	36	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	23310	NM_015261.3	0.643	0.541	0.000	-0.17	moderate
NCAPG2	5	1	GO	8	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	54892	NM_017760.7	0.441	0.338	1.000	3.34	constrained
NCAPH2	5	1	GO	4	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	29781	NM_152299.4	0.792	0.634	0.000	-0.20	moderate
NCOR1	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	9611	NM_006311.4	0.292	0.235	1.000	4.45	highly_constrained
NEK9	5	1	Reactome	1	yes	no	0			R-HSA-68877 (Mitotic Prometaphase)		no	91754	NM_033116.6	0.837	0.670	0.000	2.20	moderate
NFATC2IP	5	1	STRING	1	yes	no	0				SMC5	no	84901	NM_032815.4	0.988	0.697	0.000	-0.33	moderate
NINL	5	1	Reactome	3	yes	no	0			R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	22981	NM_025176.6	1.109	0.965	0.000	-0.49	unconstrained
NME7	5	1	Reactome	2	yes	no	0			R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	29922	NM_013330.5	1.197	0.753	0.000	0.58	unconstrained
NSMCE1	5	1	STRING	1	yes	no	0				SMC5	no	197370	NM_145080.4	0.846	0.532	0.011	0.82	moderate
NSMCE3	5	1	STRING	1	yes	no	0				SMC5	no	56160	NM_138704.4	NA	NA	NA	-1.07	no_constraint_data
NSMCE4A	5	1	STRING	1	yes	no	0				SMC5	no	54780	NM_017615.3	1.255	0.879	0.000	-1.03	unconstrained
NTMT1	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	28989	NM_014064.4	0.796	0.441	0.187	1.98	moderate
ORC2	5	1	GO	1	no	no	0		GO:0000776 (kinetochore)			no	4999	NM_006190.5	0.649	0.372	0.585	1.01	moderate
P3H4	5	1	GO	1	yes	no	0		GO:0007059 (chromosome segregation)			no	10609	NM_006455.3	1.174	0.921	0.000	-0.10	unconstrained
PARD6B	5	1	GO	1	no	no	0		GO:0007098 (centrosome cycle)			no	84612	NM_032521.3	0.916	0.291	0.554	1.28	moderate
PARD6G	5	1	GO	1	no	no	0		GO:0007098 (centrosome cycle)			no	84552	NM_032510.4	1.542	0.797	0.011	-0.86	unconstrained
PARP2	5	1	STRING	1	yes	no	0				BUB3	no	10038	NM_001042618.2	1.037	0.794	0.000	0.85	unconstrained
PBK	5	1	STRING	2	yes	no	0				BUB1,TRIP13	no	55872	NM_018492.4	1.057	0.337	0.434	0.37	unconstrained
PDE4DIP	5	1	GO	1	no	no	0		GO:0007098 (centrosome cycle)			no	ENSG00000178104	ENST00000369354	0.773	0.557	0.000	2.14	moderate
PHF13	5	1	GO	5	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	148479	NM_153812.3	0.183	0.039	1.000	2.06	highly_constrained
PIBF1	5	1	GO	4	yes	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	10464	NM_006346.4	1.235	0.872	0.000	-0.59	unconstrained
PJA1	5	1	STRING	1	yes	no	0				SMC5	no	NA	NA	NA	NA	NA	NA	no_constraint_data
PLK3	5	1	GO	1	no	no	0		GO:0000776 (kinetochore)			no	1263	NM_004073.4	0.766	0.589	0.000	0.90	moderate
PLK5	5	1	GO	1	no	no	0		GO:0000776 (kinetochore)			no	126520	NM_001243079.2	1.284	0.942	0.000	-0.76	unconstrained
PMF1-BGLAP	5	1	GO	2	no	no	0		GO:0000776 (kinetochore)			no	100527963	NM_001199662.1	1.202	0.835	0.000	-0.02	unconstrained
PPP1R7	5	1	GO	1	no	no	0		GO:0007059 (chromosome segregation)			no	5510	NM_002712.3	0.542	0.347	0.908	2.55	constrained
PPP2CB	5	1	Reactome	5	yes	no	0			R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	5516	NM_001009552.2	0.741	0.481	0.028	2.82	moderate
PPP2R2A	5	1	GO	4	no	no	0		GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	5520	NM_002717.4	0.364	0.194	1.000	4.46	constrained
PPP2R2D	5	1	GO	4	no	no	0		GO:0007059 (chromosome segregation); GO:0051983 (regulation of chromosome segregation)			no	55844	NM_018461.5	0.605	0.322	0.826	1.38	moderate
PPP2R5B	5	1	Reactome	5	yes	no	0			R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	5526	NM_006244.4	0.485	0.331	0.991	3.05	constrained
PPP2R5E	5	1	Reactome	5	yes	no	0			R-HSA-141424 (Amplification of signal from the kinetochores); R-HSA-2467813 (Separation of Sister Chromatids); R-HSA-2500257 (Resolution of Sister Chromatid Cohesion); R-HSA-68877 (Mitotic Prometaphase); R-HSA-69618 (Mitotic Spindle Checkpoint)		no	5529	NM_006246.5	0.193	0.084	1.000	4.29	highly_constrained
PRDM9	5	1	GO	1	no	no	0		GO:0007059 (chromosome segregation)			no	56979	NM_020227.4	1.039	0.815	0.000	1.49	unconstrained
PRICKLE1	5	1	GO	2	no	no	0		GO:0000819 (sister chromatid segregation); GO:0007059 (chromosome segregation)			no	144165	NM_153026.3	0.279	0.175	1.000	2.90	highly_constrained
PRKACA	5	1	Reactome	3	yes	no	0			R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	5566	NM_002730.4	0.338	0.194	1.000	3.85	highly_constrained
PRKAR2B	5	1	Reactome	3	yes	no	0			R-HSA-380259 (Loss of Nlp from mitotic centrosomes); R-HSA-380270 (Recruitment of mitotic centrosome proteins and complexes); R-HSA-68877 (Mitotic Prometaphase)		no	5577	NM_002736.3	0.658	0.377	0.542	0.98	moderate
PRPF3	5	1	STRING	1	yes	no	0				CENATAC	no	9129	NM_004698.4	0.087	0.034	1.000	5.00	highly_constrained
PSMA1	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5682	NM_002786.4	0.343	0.109	0.998	1.74	highly_constrained
PSMA2	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5683	NM_002787.5	0.243	0.077	1.000	2.86	highly_constrained
PSMA3	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5684	NM_002788.4	0.406	0.177	0.997	1.62	constrained
PSMA4	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5685	NM_002789.6	0.409	0.194	0.998	2.85	constrained
PSMA5	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5686	NM_002790.4	0.319	0.123	1.000	3.39	highly_constrained
PSMA6	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5687	NM_002791.3	0.122	0.000	1.000	2.61	highly_constrained
PSMA7	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5688	NM_002792.4	0.367	0.175	0.999	1.90	constrained
PSMB1	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5689	NM_002793.4	0.549	0.261	0.938	0.69	constrained
PSMB2	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5690	NM_002794.5	0.878	0.552	0.007	1.42	moderate
PSMB3	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5691	NM_002795.4	0.452	0.215	0.992	2.19	constrained
PSMB4	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5692	NM_002796.3	0.659	0.434	0.128	0.80	moderate
PSMB5	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5693	NM_002797.5	0.255	0.081	1.000	1.84	highly_constrained
PSMB6	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5694	NM_002798.3	0.721	0.435	0.170	1.14	moderate
PSMB7	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5695	NM_002799.4	0.427	0.187	0.994	1.21	constrained
PSMC1	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5700	NM_002802.3	0.258	0.123	1.000	5.18	highly_constrained
PSMC2	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5701	NM_002803.4	0.274	0.130	1.000	4.63	highly_constrained
PSMC3	5	1	Reactome	2	yes	no	0			R-HSA-174184 (Cdh1:APC/C mediated degradation of Cdc20 and other targets); R-HSA-2467813 (Separation of Sister Chromatids)		no	5702	NM_002804.5	0.352	0.213	1.000	5.02	constrained
