symbol	tier	n_sources	sources	has_strong_assertion	in_mitotic_panel	assertions
AFG3L2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AFG3L2-related ataxia and seizures () | AFG3L2-related optic atrophy and/or spastic ataxia spectrum (Definitive) | Intellectual disability (confidence 1)
AGA	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AGA-related aspartylglucosaminuria () | Intellectual disability (confidence 3) | aspartylglucosaminuria (Definitive)
AGK	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AGK-related Sengers syndrome () | Intellectual disability (confidence 1) | Nephrocalcinosis or nephrolithiasis (confidence 1) | mitochondrial disease (Definitive)
AGL	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AGL-related glycogen storage disease () | Intellectual disability (confidence 1) | glycogen storage disease III (Definitive)
AGO1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AGO1-related developmental disorder () | Intellectual disability (confidence 3) | complex neurodevelopmental disorder (Definitive)
AGO2	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | Lessel-Kreienkamp syndrome (Definitive)
AGPAT2	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | lipodystrophy (Definitive)
AGPS	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AGPS-related rhizomelic chondrodysplasia punctata () | Intellectual disability (confidence 2) | alkylglycerone-phosphate synthase deficiency (Definitive)
AGTPBP1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AGTPBP1-related neurodegeneration, childhood-onset, with cerebellar atrophy () | Intellectual disability (confidence 3) | neurodegeneration, childhood-onset, with cerebellar atrophy (Definitive)
AGXT	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AGXT-related hyperoxaluria, primary () | Intellectual disability (confidence 2) | Nephrocalcinosis or nephrolithiasis (confidence 3) | alanine glyoxylate aminotransferase deficiency (Definitive)
AHCY	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase (Definitive)
AHDC1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AHDC1-related Xia-Gibbs syndrome () | AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome (Definitive) | Intellectual disability (confidence 3)
AHI1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AHI1-related Joubert syndrome () | Cystic renal disease (confidence 1) | Cystic renal disease (confidence 3) | Intellectual disability (confidence 3) | Joubert syndrome 3 (Definitive)
AIFM1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AIFM1-related combined oxidative phosphorylation deficiency () | Intellectual disability (confidence 3) | Leigh syndrome (Moderate) | X-linked hereditary sensory and autonomic neuropathy with hearing loss (Definitive)
AIMP1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AIMP1-related leukodystrophy, hypomyelinating () | Intellectual disability (confidence 3) | hypomyelinating leukodystrophy 3 (Definitive)
AIMP2	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 2) | leukodystrophy, hypomyelinating, 17 (Definitive)
AIPL1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AIPL1-related Leber congenital amaurosis () | AIPL1-related retinopathy (Definitive) | Intellectual disability (confidence 2) | inherited retinal dystrophy (Disputed)
AIRE	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AIRE-related autoimmune polyendocrinopathy syndrome () | Intellectual disability (confidence 2) | autoimmune polyendocrine syndrome type 1 (Definitive)
AK2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AK2-related reticular dysgenesis () | Intellectual disability (confidence 2) | reticular dysgenesis (Definitive)
AKR1D1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AKR1D1-related bile acid synthesis defect, congenital () | Intellectual disability (confidence 2) | congenital bile acid synthesis defect 2 (Definitive)
AKT2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AKT2-related familial partial lipodystrophy (Limited) | AKT2-related hypoinsulinemic hypoglycemia and hemihypertrophy () | Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders (confidence 3) | hypoinsulinemic hypoglycemia and body hemihypertrophy (Definitive)
AKT3	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AKT3-related hemimegalencephaly () | Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders (confidence 2) | Intellectual disability (confidence 3) | Severe microcephaly (confidence 2) | microcephaly (Limited) | overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes (Definitive)
ALAD	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALAD-related acute hepatic porphyria () | Intellectual disability (confidence 2) | porphyria due to ALA dehydratase deficiency (Moderate)
ALDH18A1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALDH18A1-related cutis laxa () | ALDH18A1-related developmental disorder-joint hypermobility-skin laxity with or without metabolic abnormalities () | ALDH18A1-related spastic paraplegia (monoallelic) () | Intellectual disability (confidence 3) | P5CS deficiency (Definitive)
ALDH3A2	1	2	PanelApp,gene2phenotype	yes	no	ALDH3A2-related Sjogren-Larsson syndrome () | Intellectual disability (confidence 3)
ALDH4A1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALDH4A1-related hyperprolinemia () | Intellectual disability (confidence 3) | hyperprolinemia type 2 (Definitive)
ALDH5A1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALDH5A1-related succinate semialdehyde dehydrogenase deficiency () | Intellectual disability (confidence 3) | succinic semialdehyde dehydrogenase deficiency (Definitive)
ALDH7A1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ALDH7A1-related pyridoxine-dependent epilepsy () | Intellectual disability (confidence 3) | pyridoxine-dependent epilepsy (Definitive)
ALDOB	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | hereditary fructose intolerance (Definitive)
